,Unnamed: 0,City,Candidate (HTML),Status,Reason,Ordre,Libellé de la liste,Code nuance de liste,Numéro de panneau,Code circonscription,Code département,Libellé département,Code commune,Libellé commune,% Voix/exprimés,Libellé de liste,Code commune str,% Voix/exprimés str,population,latitude_centre,longitude_centre,dep_nom,reg_nom,nom_standard,superficie_km2,densite
10,10,Annecy,Adeline Duché,Found,Match successful.,8.0,Vivre Annecy,LUG,4.0,74010,74.0,Haute-Savoie,74010.0,Annecy,"24,70%",Vivre Annecy,74010,24.7,131715.0,45.891,6.126,Haute-Savoie,Auvergne-Rhône-Alpes,Annecy,16.0,8258.0
11,11,Antony,Yann LE BIHEN,Found,Match successful.,2.0,ANTONY EN PARTAGE,LDVG,1.0,92002,92.0,Hauts-de-Seine,92002.0,Antony,"11,27%",ANTONY EN PARTAGE,92002,11.27,63232.0,48.75,2.299,Hauts-de-Seine,Île-de-France,Antony,10.0,6614.0
12,12,Antony,Virginie EVVENOU,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
13,13,Arles,Françoise ROUZIES,Found,Match successful.,42.0,L'UNION POUR ARLES,LDVG,4.0,13004,13.0,Bouches-du-Rhône,13004.0,Arles,"25,38%",L'UNION POUR ARLES,13004,25.38,50415.0,43.547,4.662,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Arles,758.0,66.0
14,14,Arras,Jean-Baptiste Fray,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
15,15,Asnières-sur-Seine,Françoise Aumont,Found,Match successful.,14.0,Agir pour Asnières,LDVG,2.0,92004,92.0,Hauts-de-Seine,92004.0,Asnières-sur-Seine,"4,47%",Agir pour Asnières,92004,4.47,89662.0,48.915,2.288,Hauts-de-Seine,Île-de-France,Asnières-sur-Seine,5.0,18602.0
16,16,Asnières-sur-Seine,Larbi El Hadri,Found,Match successful.,1.0,Agir pour Asnières,LDVG,2.0,92004,92.0,Hauts-de-Seine,92004.0,Asnières-sur-Seine,"4,47%",Agir pour Asnières,92004,4.47,89662.0,48.915,2.288,Hauts-de-Seine,Île-de-France,Asnières-sur-Seine,5.0,18602.0
17,17,Aubagne,Christophe Albertini,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
18,18,Aubagne,Fadila Tessier,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
19,19,Aubervilliers,Emmanuel CHEVREUL,Found,Match successful.,21.0,Faire gagner Aubervilliers,LDVG,5.0,93001,93.0,Seine-Saint-Denis,93001.0,Aubervilliers,"25,56%",Faire gagner Aubervilliers,93001,25.56,90071.0,48.912,2.384,Seine-Saint-Denis,Île-de-France,Aubervilliers,6.0,15610.0
20,20,Auch,Marie-Pierre Desbons,Found,Match successful.,2.0,AUCH AVEC VOUS,LDVG,4.0,32013,32.0,Gers,32013.0,Auch,"35,73%",AUCH AVEC VOUS,32013,35.73,23041.0,43.653,0.575,Gers,Occitanie,Auch,73.0,314.0
