Quantity;latitude;Longitude;Date
744;-61.611389;-58.44;11/01/2013
12849;-63.631667;-61.018333;27/04/2021
12920;-63.16;-58.813333;16/05/2019
36369;-63.058333;-60.108333;19/06/2019
35251;-62.875;-59.925;13/06/2019
24968;-62.82;-57.456667;26/04/2019
14777;-62.6;-61.615;16/05/2012
22787;-61.425;-58.475;02/01/2021
41514;-62.988333;-57.496667;02/05/2020
16343;-63.021667;-58.165;16/06/2022
21268;-63.116667;-58.783333;03/05/2013
4517;-62.95;-62.9;09/01/2014
29721;-63.026667;-57.636667;10/06/2022
22465;-63.055;-59.156667;31/05/2022
17714;-63.383333;-59.416667;06/04/2014
3275;-61.615;-57.613333;24/01/2013
7667;-61.688333;-58.58;14/01/2013
11998;-61.813333;-58.773333;08/01/2013
1988;-63.416667;-59.466667;23/03/2013
18359;-63.978056;-60.83;20/04/2021
12297;-63.626667;-60.955;27/04/2021
11516;-63.244722;-58.66;10/06/2018
24209;-63.111389;-59.13;26/05/2018
8881;-63.253333;-59.08;26/12/2011
16537;-61.002778;-55.82;24/12/2018
5750;-62.741667;-61.74;02/05/2012
22368;-63.543333;-61.21;25/06/2019
20131;-62.971667;-59.653333;19/04/2019
23146;-61.415;-58.452778;02/01/2021
13051;-62.986111;-57.305;02/05/2020
4473;-63.098333;-57.813333;16/06/2022
3694;-62.9;-62.916667;09/01/2014
29144;-63.011389;-57.653333;10/06/2022
12116;-63.883333;-60.416667;25/03/2014
11789;-61.605;-57.703056;24/01/2013
1741;-61.586389;-58.43;28/01/2013
10088;-61.6;-58.586389;14/01/2013
13710;-63.041667;-58.525;03/06/2021
25088;-63.863333;-60.276667;14/04/2021
28536;-63.081667;-58.658333;10/06/2018
30038;-63.108333;-59.252778;26/05/2018
1106;-63.83;-61.326667;19/04/2012
4745;-63.844444;-60.193333;12/04/2012
14131;-61.073333;-55.843333;23/12/2018
19550;-62.66;-61.513333;02/05/2012
34320;-63.161667;-59.22;18/12/2011
36155;-62.863333;-59.74;13/06/2019
8535;-62.598333;-61.586667;17/05/2012
22988;-63.011389;-58.596667;06/05/2020
14954;-63.24;-59.271667;13/04/2013
11840;-63.668333;-60.98;24/06/2022
12819.3;-63.816667;-60.25;14/05/2013
5800;-63.855;-60.301667;13/05/2021
13013;-63.971667;-60.686667;29/04/2021
36260;-62.956667;-58.706667;23/05/2018
32731;-62.940278;-58.478056;22/05/2018
17074;-62.531667;-61.413889;22/04/2012
9821;-63.113889;-59.395;09/04/2012
9102;-61.315;-57.706667;18/01/2021
13702;-63.383333;-60.4;28/04/2014
16827;-63.105;-58.036111;15/05/2020
14258;-61.533333;-61.55;30/01/2014
27112;-62.656667;-55.328056;05/04/2022
19806;-63.25;-59.073333;08/04/2013
28723;-62.603333;-54.621667;11/04/2022
10910;-63.633333;-59.533333;26/03/2013
