,year,dcmlLtt,dcmlLng
454,1934,-49.45,-174.7333
455,1934,-47.2833,-175.85000000000002
456,1934,-47.2833,-175.85000000000002
457,1934,-40.7167,-179.8167
458,1934,-40.7167,-179.8167
459,1934,-66.1,-170.55
460,1934,-72.0167,-171.4333
461,1934,-72.0167,-171.4333
462,1934,-72.0167,-171.4333
463,1934,-72.0167,-171.4333
464,1934,-68.0833,-158.95000000000002
465,1934,-68.0833,-158.95000000000002
466,1934,-68.0833,-158.95000000000002
467,1934,-67.7,-162.1333
468,1934,-67.7,-162.1333
469,1934,-67.7,-162.1333
470,1934,-68.75,-164.6
471,1934,-69.13329999999999,-152.7
472,1934,-69.13329999999999,-152.7
473,1934,-69.13329999999999,-152.7
474,1934,-68.4667,-156.2667
475,1934,-70.4667,-145.9167
476,1934,-70.4667,-145.9167
477,1934,-70.4667,-145.9167
478,1934,-69.7667,-149.71669999999995
479,1934,-70.13329999999999,-140.4333
480,1934,-70.13329999999999,-140.4333
481,1934,-70.13329999999999,-140.4333
482,1934,-71.4167,-143.5833
483,1934,-71.4167,-143.5833
484,1934,-71.4167,-143.5833
485,1934,-68.0167,-134.25
486,1934,-68.0167,-134.25
487,1934,-68.0167,-134.25
488,1934,-69.1,-137.4667
489,1934,-68.3,-79.5667
490,1934,-68.3,-79.5667
491,1934,-68.3,-79.5667
492,1934,-64.5333,-79.25
493,1934,-64.5333,-79.25
494,1934,-64.5333,-79.25
495,1934,-66.0333,-79.3667
496,1934,-61.45,-78.9833
497,1934,-61.45,-78.9833
498,1934,-58.4333,-78.9
499,1934,-58.4333,-78.9
500,1934,-55.75,-78.4833
501,1934,-55.75,-78.4833
502,1934,-55.9333,-56.0
503,1934,-55.9333,-56.0
504,1934,-58.8167,-55.166700000000006
505,1934,-58.8167,-55.166700000000006
506,1934,-57.4333,-55.3
507,1934,-57.4333,-55.3
508,1934,-60.2833,-55.05
509,1934,-61.26670000000001,-47.3667
510,1934,-61.26670000000001,-47.3667
511,1934,-61.26670000000001,-47.3667
512,1934,-62.1,-49.5833
513,1935,-59.4667,-96.2
514,1935,-59.4667,-96.2
515,1935,-62.3167,-95.8667
516,1935,-62.3167,-95.8667
517,1935,-60.7833,-95.95
518,1935,-59.4667,-96.2
519,1935,-63.4,-95.6833
520,1935,-62.3167,-95.8667
521,1935,-63.8,-80.66669999999999
522,1935,-63.8,-80.66669999999999
523,1935,-66.5333,-81.3
524,1935,-66.5333,-81.3
525,1935,-64.75,-88.6
526,1935,-62.0833,-80.3167
527,1935,-62.0833,-80.3167
528,1935,-62.8333,-80.4667
529,1935,-62.8333,-80.4667
530,1935,-60.349999999999994,-79.9
531,1935,-60.349999999999994,-79.9
532,1935,-63.8,-80.66669999999999
533,1935,-66.5333,-81.3
534,1935,-60.349999999999994,-79.9
535,1935,-64.4167,56.1833
536,1935,-59.26670000000001,-43.6
537,1935,-59.26670000000001,-43.6
538,1935,-54.9,-44.0667
539,1935,-54.9,-44.0667
540,1935,-59.26670000000001,-43.6
541,1935,-57.9333,-43.8167
542,1935,-52.1,-44.0833
543,1935,-52.1,-44.0833
544,1935,-54.9,-44.0667
545,1935,-53.5167,-44.0667
546,1935,-52.1,-44.0833
547,1935,-53.9167,-40.4833
548,1935,-53.9,-38.6833
549,1935,-53.9,-39.2833
550,1935,-53.9167,-39.8333
551,1935,-59.6167,-26.966699999999996
552,1935,-61.5667,-22.766699999999997
553,1935,-63.9,-18.35
554,1935,-62.5833,-20.65
555,1935,-66.25,-13.9167
556,1935,-65.0667,-16.283299999999997
557,1935,-68.75,-9.3333
558,1935,-67.3667,-11.5167
559,1935,-64.8167,9.0667
560,1935,-66.5167,-3.6667
561,1935,-66.5167,-3.6667
562,1935,-67.68329999999999,-6.533300000000001
563,1935,-63.2167,5.483300000000001
564,1935,-64.5833,0.7667
565,1935,-65.4833,-1.3333
566,1935,-66.64999999999999,5.4667
567,1935,-61.4833,4.2167
568,1935,-65.55,3.05
569,1935,-68.7,10.5833
570,1935,-67.68329999999999,8.0
571,1935,-66.95,15.1667
572,1935,-68.0333,12.5333
573,1935,-64.9167,20.0167
574,1935,-66.0333,17.35
575,1935,-61.6,14.7167
576,1935,-62.8333,24.466699999999996
577,1935,-63.9333,22.1167
578,1935,-65.4,27.1333
579,1935,-64.0167,25.766699999999997
580,1935,-67.3,30.566699999999997
581,1935,-66.5833,28.4333
582,1935,-64.5667,33.15
583,1935,-64.5667,33.15
584,1935,-66.05,31.783299999999997
585,1935,-62.0333,35.9167
586,1935,-63.4,34.3833
587,1935,-64.45,39.3
588,1935,-63.0667,37.4833
589,1935,-66.5,42.4333
590,1935,-65.2667,40.4667
591,1935,-64.18329999999999,44.0833
592,1935,-65.4833,43.2167
593,1936,-58.0333,58.0167
594,1936,-58.45,60.4333
595,1936,-58.849999999999994,59.1833
596,1936,-57.8333,64.55
597,1936,-57.75,66.88329999999999
598,1936,-57.0667,75.7333
599,1936,-57.8167,84.4
600,1936,-63.5833,53.2
601,1936,-63.7833,84.2667
602,1936,-74.7667,178.38330000000002
603,1936,-59.3833,87.4333
604,1936,-72.95,177.6833
605,1936,-70.45,-178.6667
606,1936,-68.7833,178.4333
607,1936,-67.75,176.4333
608,1936,-63.45,103.75
609,1936,-64.4333,103.9
610,1936,-64.8167,103.55
611,1936,-64.66669999999999,79.63329999999999
612,1936,-67.8,70.7
613,1936,-64.5167,56.1167
614,1936,-64.38329999999999,145.9
615,1936,-64.9833,145.8167
616,1936,-64.9833,145.8167
617,1936,-64.9,141.5667
618,1936,-64.3333,139.9
619,1936,-63.4667,137.8333
620,1936,-63.6167,129.4167
621,1936,-64.4667,23.066699999999997
622,1936,-65.0,126.35
623,1936,-65.16669999999999,124.05
624,1936,-65.09700000000001,127.04
625,1936,-65.0167,118.5833
626,1936,-64.5,116.9833
627,1936,-63.26670000000001,113.9667
628,1936,-64.2667,104.05
629,1936,-63.9833,100.1833
630,1936,-62.8333,100.85
631,1936,-61.25,102.05
632,1937,-62.3167,75.88329999999999
633,1937,-63.3833,63.3333
634,1937,-59.9,-46.5167
635,1937,-59.1167,-47.76670000000001
636,1937,-57.0333,-31.466699999999996
637,1937,-58.8167,-29.1167
638,1937,-60.5833,-26.6667
639,1937,-62.55,-24.5333
640,1937,-64.2667,-22.783299999999997
641,1937,-66.0,-20.9167
642,1937,-68.3167,-17.9
643,1937,-69.8167,-15.45
644,1937,-69.8167,-15.45
645,1937,-69.8167,-15.45
646,1937,-66.14999999999999,-10.2
647,1937,-66.2833,-13.3833
648,1937,-66.4833,-4.2
649,1937,-66.1167,-6.7667
650,1937,-67.2333,0.6667
651,1937,-65.2333,0.5
652,1937,-64.5333,0.4833
653,1937,-62.7167,0.5667
654,1937,-59.4,0.15
655,1937,-57.76670000000001,0.0667
656,1937,-54.9167,0.2
657,1937,-56.5667,0.1167
658,1938,-51.8167,27.7167
659,1938,-56.95,-17.35
660,1938,-54.1833,28.8667
661,1938,-54.1833,28.8667
662,1938,-54.1833,28.8667
663,1938,-52.9667,28.1667
664,1938,-54.666700000000006,29.783299999999997
665,1938,-54.8167,29.3
666,1938,-56.95,31.4167
667,1938,-55.9167,35.0833
668,1938,-56.166700000000006,32.033300000000004
669,1938,-57.4,39.25
670,1938,-56.9333,38.55
671,1938,-56.6833,43.2833
672,1938,-57.349999999999994,42.05
673,1938,-57.95,40.9167
674,1938,-57.349999999999994,-24.283299999999997
